id,name,album,album_id,artists,artist_ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,index
4Shbv9t1OjvuviwyZ5qk4g,Shots Fired,Good News,7lQouCmPggSsg1972D3TiE,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.83,0.67,2,-4.9110000000000005,1,0.291,0.0005,0.0,0.0889,0.435,184.027,170871,4.0,2020,2020-11-19,1128
51lknET3imwwg2J8x1XRG4,Circles,Good News,7lQouCmPggSsg1972D3TiE,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.8590000000000001,0.7709999999999999,6,-8.865,0,0.172,0.0298,0.0,0.355,0.777,111.099,170641,4.0,2020,2020-11-19,1128
5pe5KNxMil6hHKu4DJ0BxO,Sugar Baby,Good News,7lQouCmPggSsg1972D3TiE,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.905,0.748,7,-5.052,1,0.1989999999999999,0.0168,0.0,0.143,0.6970000000000001,85.053,146869,4.0,2020,2020-11-19,1128
2MLXkXM8MUQoQjotxk2n2x,Body,Good News,7lQouCmPggSsg1972D3TiE,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.914,0.726,8,-6.183,0,0.259,0.0135,0.0,0.106,0.46,94.044,171067,4.0,2020,2020-11-19,1128
04eAKX0XyiYgC9RTndJi1I,What’s New,Good News,7lQouCmPggSsg1972D3TiE,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.932,0.8490000000000001,1,-4.876,1,0.344,0.00465,0.0,0.0874,0.7609999999999999,140.009,155090,4.0,2020,2020-11-19,1128
6azUa1ok44qnTLZqhvv9sm,Work That,Good News,7lQouCmPggSsg1972D3TiE,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.8640000000000001,0.708,1,-4.026,1,0.128,0.00414,1.26e-06,0.3,0.366,92.502,134724,4.0,2020,2020-11-19,1128
5L8DTsECtfYCLtnAg9AtPN,Don’t Rock Me To Sleep,Good News,7lQouCmPggSsg1972D3TiE,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.875,0.746,10,-5.9220000000000015,0,0.0441,0.00983,0.0,0.118,0.64,105.973,183383,4.0,2020,2020-11-19,1128
1CUGdnPqySE1M3sOXkq4rc,Outside,Good News,7lQouCmPggSsg1972D3TiE,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.861,0.833,2,-2.929,1,0.257,0.0158,0.0,0.0845,0.655,168.03599999999997,151991,4.0,2020,2020-11-19,1128
6FluBKuU5VAFSrWaj0Any6,Girls in the Hood,Good News,7lQouCmPggSsg1972D3TiE,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.825,0.82,6,-3.911,1,0.356,0.00664,0.0,0.0489,0.8540000000000001,179.975,154389,4.0,2020,2020-11-19,1128
3yhhv0VCmKkAWD9ysDLpTE,Shots Fired,Good News,0KjckH1EE6HRRurMIXSc0r,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.826,0.655,2,-4.775,1,0.3,0.000761,0.0,0.0841,0.45,184.057,170871,4.0,2020,2020-11-20,1128
08TILUAN56HJoS1d9mNRty,Circles,Good News,0KjckH1EE6HRRurMIXSc0r,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.8420000000000001,0.789,6,-8.732999999999999,0,0.178,0.0265,0.0,0.355,0.795,111.113,170641,4.0,2020,2020-11-20,1128
2LcqFRq2xBQdSfXBh5IIUk,Sugar Baby,Good News,0KjckH1EE6HRRurMIXSc0r,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.905,0.747,7,-4.6930000000000005,1,0.246,0.0229,0.0,0.126,0.6779999999999999,85.00399999999998,146869,4.0,2020,2020-11-20,1128
0A1hoCfMLkiAgvhWkkucJa,Body,Good News,0KjckH1EE6HRRurMIXSc0r,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.914,0.732,8,-6.1,0,0.241,0.0166,0.0,0.107,0.469,94.066,171067,4.0,2020,2020-11-20,1128
3jRHehB5ulTMKfK5WaqDqc,What’s New,Good News,0KjckH1EE6HRRurMIXSc0r,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.934,0.873,1,-4.707,1,0.309,0.00488,0.0,0.0832,0.721,139.997,155090,4.0,2020,2020-11-20,1128
1HeAm7PJPUhunseNElZvBj,Work That,Good News,0KjckH1EE6HRRurMIXSc0r,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.7559999999999999,0.711,1,-4.051,1,0.242,0.00376,0.0,0.284,0.447,184.93,134724,4.0,2020,2020-11-20,1128
5E2XqswBygKQ8ZXqkJZUj8,Don’t Rock Me To Sleep,Good News,0KjckH1EE6HRRurMIXSc0r,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.8759999999999999,0.75,10,-5.912000000000001,0,0.0432,0.00932,0.0,0.118,0.653,105.971,183383,4.0,2020,2020-11-20,1128
1ZynYY8BPvWnx7t1EGwrPs,Outside,Good News,0KjckH1EE6HRRurMIXSc0r,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.8640000000000001,0.841,2,-2.775,1,0.278,0.0242,0.0,0.0748,0.713,168.002,151991,4.0,2020,2020-11-20,1128
7yiSvALPjMrBLDDrbcDRNy,Girls in the Hood,Good News,0KjckH1EE6HRRurMIXSc0r,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.821,0.816,6,-3.835,1,0.352,0.0071099999999999,0.0,0.0645,0.797,179.97400000000005,154389,4.0,2020,2020-11-20,1128
3qVNNJ7f9RQeNR4iPIeS0c,Realer,Fever,5WLquTz7nUnsHCj80b6wci,Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK'],0.934,0.631,1,-3.834,1,0.317,0.127,0.0,0.0955,0.4370000000000001,117.064,149704,4.0,2019,2019-05-17,1128
